Date,Open,High,Low,Close,Adj Close,Volume
2021-10-21,4.050000,4.210000,3.720000,3.760000,3.760000,17078800
2021-10-22,3.710000,3.740000,3.490000,3.560000,3.560000,10002500
2021-10-25,3.660000,3.950000,3.660000,3.900000,3.900000,11438500
2021-10-26,3.950000,3.950000,3.750000,3.820000,3.820000,8901700
2021-10-27,3.630000,3.750000,3.410000,3.420000,3.420000,9821500
2021-10-28,3.670000,3.710000,3.490000,3.690000,3.690000,8848500
2021-10-29,3.740000,3.970000,3.540000,3.540000,3.540000,17265100
2021-11-01,3.730000,3.840000,3.600000,3.800000,3.800000,10389300
2021-11-02,3.930000,4.360000,3.890000,4.360000,4.360000,31493100
2021-11-03,4.240000,4.400000,4.040000,4.350000,4.350000,15825300
2021-11-04,4.320000,4.630000,4.230000,4.410000,4.410000,13072900
2021-11-05,4.480000,4.580000,4.290000,4.420000,4.420000,9437600
2021-11-08,4.700000,4.950000,4.620000,4.860000,4.860000,18106300
2021-11-09,5.270000,5.600000,4.310000,4.440000,4.440000,43441700
2021-11-10,4.760000,4.780000,4.030000,4.080000,4.080000,19846100
2021-11-11,4.200000,4.290000,4.040000,4.170000,4.170000,11087600
2021-11-12,4.180000,4.350000,4.070000,4.320000,4.320000,12069000
2021-11-15,4.420000,4.460000,4.110000,4.220000,4.220000,11395500
2021-11-16,4.020000,4.300000,3.880000,4.030000,4.030000,15636700
2021-11-17,4.040000,4.130000,3.910000,4.040000,4.040000,9901600
2021-11-18,3.970000,4.010000,3.670000,3.930000,3.930000,15619100
2021-11-19,3.930000,4.280000,3.920000,4.200000,4.200000,14410400
2021-11-22,4.230000,4.260000,3.830000,3.890000,3.890000,11644200
2021-11-23,3.920000,4.100000,3.850000,4.040000,4.040000,8916500
2021-11-24,3.880000,3.980000,3.780000,3.960000,3.960000,6779400
2021-11-26,3.710000,3.830000,3.640000,3.710000,3.710000,7688100
2021-11-29,3.830000,3.950000,3.670000,3.850000,3.850000,9610200
2021-11-30,3.920000,4.050000,3.560000,3.770000,3.770000,13250000
2021-12-01,3.900000,3.910000,3.510000,3.560000,3.560000,12060400
2021-12-02,3.530000,3.580000,3.210000,3.430000,3.430000,13527000
2021-12-03,3.470000,3.470000,3.010000,3.110000,3.110000,12339400
2021-12-06,2.800000,3.060000,2.700000,3.030000,3.030000,12241300
2021-12-07,3.260000,3.390000,3.200000,3.230000,3.230000,6433300
2021-12-08,3.260000,3.370000,3.140000,3.310000,3.310000,5452600
2021-12-09,3.210000,3.220000,2.920000,2.930000,2.930000,9363400
2021-12-10,3.100000,3.110000,2.850000,2.880000,2.880000,6613200
2021-12-13,2.850000,2.850000,2.680000,2.760000,2.760000,7471500
2021-12-14,2.680000,2.790000,2.630000,2.720000,2.720000,7321200
2021-12-15,2.720000,2.870000,2.490000,2.830000,2.830000,13413800
2021-12-16,2.840000,2.850000,2.600000,2.630000,2.630000,7552100
2021-12-17,2.510000,2.700000,2.430000,2.590000,2.590000,9371400
2021-12-20,2.490000,2.550000,2.440000,2.500000,2.500000,5619200
2021-12-21,2.630000,2.870000,2.600000,2.810000,2.810000,8833800
2021-12-22,2.830000,2.910000,2.770000,2.850000,2.850000,6999800
2021-12-23,2.890000,3.110000,2.750000,3.060000,3.060000,8889100
2021-12-27,3.140000,3.160000,3.010000,3.080000,3.080000,4973400
2021-12-28,2.910000,3.010000,2.760000,2.790000,2.790000,6724900
2021-12-29,2.760000,2.840000,2.640000,2.660000,2.660000,4777500
